0 (delta 0)	:- Starting (line 3612)
0.002 (delta 0.002)	:- Getting WPGMZA_OTHER_SETTINGS (line 3638)
0.004 (delta 0.002)	:- Enqueuing Google Maps (line 3641)
0.006 (delta 0.002)	:- Enqueuing dataTables (line 3648)
0.008 (delta 0.002)	:- Iterating over shortcode array (line 3681)
0.009 (delta 0.001)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
0.357 (delta 0.348)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
0.369 (delta 0.012)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
0.48 (delta 0.111)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
0.519 (delta 0.039)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
0.565 (delta 0.046)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
0.591 (delta 0.026)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
0.614 (delta 0.023)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
0.812 (delta 0.198)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
0.819 (delta 0.007)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
0.852 (delta 0.033)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
0.905 (delta 0.053)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
0.985 (delta 0.08)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
0.993 (delta 0.008)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
1.137 (delta 0.144)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
1.167 (delta 0.03)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
1.197 (delta 0.03)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
1.286 (delta 0.089)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
1.342 (delta 0.056)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
1.602 (delta 0.26)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
1.627 (delta 0.025)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
1.635 (delta 0.008)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
1.85 (delta 0.215)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
1.86 (delta 0.01)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
1.879 (delta 0.019)	:- Calling wpgmaps_return_markers for mashup IDs (line 3696)
