title,description,link,post_status,post_type,lat,lng,map_id,approved,address,category
"AVIONICS SOURCE, LLC",206-726-0088,https://www.avionicssource.com,publish,dealers,47.560218,-122.384419,1,1,"4742 42nd Avenue SW Seattle, WA, 98116",1
"AFFORDABLE AVIONICS, INC.",909-606-9876,https://www.affordableavionicsinc.com,publish,dealers,33.5578,-116.157152,1,1,"56-935 WARHAWK WAY THERMAL, CA, 92274",1
AVIONICS SOUTHEAST,907-312-5323,,publish,dealers,58.485164,-134.77786,1,1,"23500 Glacier Hwy Juneau, AK, 99801","0,1"
CHANDLER AVIONICS LLC,480-309-9683,https://www.chandleravionics.com,publish,dealers,33.271668,-111.80904,1,1,"1725 E. RYAN RD CHANDLER, AZ, 85249",1
"K.R.T. AVIATION, LLC",405-714-7609,https://www.krtaviation.com,publish,dealers,36.034249,-95.991312,1,1,"8888 JACK BATES AVE. TULSA, OK, 74132",1
CLEAR STAR AVIATION LLC.,972-267-2376,https://www.clearstarair.com,publish,dealers,32.972582,-96.831723,1,1,"4765 FRANK LUKE ADDISON, TX, 75001",1
ARISPE AVIATION LLC,469-481-6501,https://www.airspeedattitude.com,publish,dealers,33.214573,-96.743839,1,1,"10030 Taylorcraft Dr.  MCKINNEY, TX, 75071",1
MERRILL FIELD INSTRUMENTS,907-278-5177,https://www.merrillfieldinstruments.com,publish,dealers,61.213218,-149.850017,1,1,"940 MERRILL FIELD DR #B ANCHORAGE, AK, 99501",0
PIPPEN YORK FLYING MACHINE COMPANY,830-997-8205,https://www.pippen-york.com,publish,dealers,30.2493,-98.911939,1,1,"555 AIRPORT RD FREDRICKSBURG, TX, 78624",1
LOS ANGELES COUNTY FIRE DEPARTMENT,818-890-5777,,publish,dealers,34.255442,-118.421314,1,1,"AIR OPS/AIRCRAFT PARTS PACOIMA, CA, 91331",1
WEST STAR AVIATION,800-255-4193,https://www.weststaraviation.com,publish,dealers,39.119685,-108.522991,1,1,"796  HERITAGE WAY GRAND JUNCTION, CO, 81506",1
HEARTLAND AVIONICS,316-733-4060,https://www.iflyaugusta.com,publish,dealers,37.678594,-97.079154,1,1,"4800 W Beach Dr Augusta, KS, 67010",1
